projection_function	clustering_algorithm	n_cubes	perc_overlap	unclustered_samples	num_clusters	num_edges	num_connected_components	std_dev_cluster_sizes	combined_score
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	50	0.75	10	50	144	1	31.545548021868317	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.1	0	5	4	1	80.95282576908603	0.9000000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.25	0	5	4	1	91.16709932865035	0.9000000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.5	0	5	4	1	126.83911068751625	0.9000000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.75	0	5	9	1	142.45420316719336	0.95
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	10	0.1	0	10	9	1	44.398648628083265	1.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	10	0.25	0	10	9	1	52.98263866588753	1.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	10	0.5	0	10	9	1	74.87082208711215	1.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	10	0.75	0	10	24	1	125.62726614871471	0.9099999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	15	0.1	0	15	14	1	29.4542960458327	0.97
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	15	0.25	0	15	14	1	35.86170969463422	0.97
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	15	0.5	0	15	14	1	53.38014612194313	0.97
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	15	0.75	0	15	39	1	97.18207425011856	0.73
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	20	0.1	0	20	18	2	23.134119823325893	0.86
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	20	0.25	0	20	19	1	27.6181100005051	0.8800000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	20	0.5	0	20	19	1	39.815072522852454	0.8800000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	20	0.75	0	20	54	1	75.50668844546158	0.5299999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	30	0.1	0	30	26	4	15.203252575974949	0.62
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	30	0.25	0	30	28	2	18.298178415714865	0.66
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	30	0.5	0	30	29	1	26.85715298885321	0.6799999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	30	0.75	0	30	84	1	51.9613531600383	0.12999999999999995
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	50	0.1	1	49	38	11	9.529891158317572	0.06999999999999995
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	50	0.25	1	49	45	4	11.318824368703051	0.20999999999999996
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	50	0.5	1	49	48	1	16.397549618343817	0.2699999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	50	0.75	0	50	144	1	32.339969078525726	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	5	0.1	0	10	10	3	71.76517261178991	0.94
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	5	0.25	0	10	13	2	55.670548766830024	0.97
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	5	0.5	0	10	12	1	114.85943583354396	1.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	5	0.75	0	10	33	1	163.18532409503007	0.8200000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	10	0.1	0	20	24	3	27.563744302978865	0.77
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	10	0.25	0	20	23	3	41.386471219469776	0.78
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	10	0.5	0	20	31	1	52.32169722017817	0.76
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	10	0.75	0	20	87	1	91.38669213840711	0.19999999999999996
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	15	0.1	0	30	30	4	22.825546117356218	0.58
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	15	0.25	0	30	38	3	31.68962325781457	0.53
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	15	0.5	0	30	43	2	38.061485344987084	0.51
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	15	0.75	0	30	128	1	65.52166732378602	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	20	0.1	0	40	41	7	16.838478999007005	0.2799999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	20	0.25	0	40	46	5	21.808026045472342	0.2899999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	20	0.5	0	40	59	2	28.498421008891	0.24999999999999994
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	20	0.75	0	40	150	2	63.66741709854421	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	30	0.1	0	60	47	19	10.4933179796584	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	30	0.25	0	60	69	9	13.711825796248531	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	30	0.5	0	60	86	4	20.18976638464811	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	30	0.75	0	60	251	2	38.40784063472225	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	50	0.1	1	98	58	43	7.4949379001728165	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	50	0.25	1	98	101	18	8.628285670938652	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	50	0.5	1	98	130	6	12.50879324201627	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	50	0.75	0	100	424	2	25.41295732495532	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	5	0.1	0	412	65	347	1.3107515262543448	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	5	0.25	0	485	145	340	1.3614587713858401	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	5	0.5	0	705	362	343	1.355314509865841	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	5	0.75	0	1254	1681	344	1.3835468285827022	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	10	0.1	0	425	67	358	1.2861444219248641	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	10	0.25	0	507	171	336	1.3103447534514627	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	10	0.5	0	738	432	308	1.321395986248044	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	10	0.75	0	1401	2208	313	1.3530607788185864	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	15	0.1	0	455	76	379	1.2199485083394455	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	15	0.25	0	542	205	337	1.2217602957782419	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	15	0.5	0	753	446	307	1.309220168200736	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	15	0.75	0	1441	2351	305	1.3410882822555699	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	20	0.1	0	489	81	408	1.137451917378933	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	20	0.25	0	557	197	360	1.2056159930404924	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	20	0.5	0	776	479	297	1.2636437873126	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	20	0.75	0	1470	2509	286	1.323059124105583	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	30	0.1	0	532	72	460	0.8745652999010746	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	30	0.25	0	609	201	408	0.9852298850232626	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	30	0.5	0	829	526	306	1.2045403726264783	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	30	0.75	0	1516	2735	260	1.2841122392294972	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	50	0.1	1	602	78	524	0.6633129775118936	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	50	0.25	1	703	233	470	0.7165830417500774	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	50	0.5	1	954	583	376	0.8937194453728309	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	50	0.75	0	1600	2963	258	1.2306603918222119	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	5	0.1	0	48	32	19	13.046391582860501	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	5	0.25	0	53	42	13	12.587946225434843	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	5	0.5	0	70	73	10	12.84927537065886	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	5	0.75	0	108	271	9	13.5531361684298	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	10	0.1	0	63	37	26	9.763414517398548	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	10	0.25	0	65	53	16	11.920803753530109	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	10	0.5	0	86	94	8	13.071463930283105	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	10	0.75	0	136	436	6	13.707931477091021	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	15	0.1	0	72	43	29	7.560545227415975	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	15	0.25	0	83	74	13	9.276670307288558	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	15	0.5	0	101	110	10	11.252665817101892	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	15	0.75	0	155	484	8	13.494177262033737	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	20	0.1	0	81	53	29	6.402826688677674	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	20	0.25	0	93	80	18	7.255379830043743	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	20	0.5	0	117	127	9	9.207163548998924	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	20	0.75	0	172	551	7	12.741756261325966	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	30	0.1	0	86	48	39	6.0017687135246724	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	30	0.25	0	102	89	19	5.9045414851571945	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	30	0.5	0	141	151	11	7.155560929141291	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	30	0.75	0	200	616	7	11.342821518475905	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	50	0.1	1	93	57	38	5.501384641607092	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	50	0.25	1	110	102	20	5.968263171916617	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	50	0.5	1	155	172	10	6.090869302962003	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	50	0.75	0	259	819	8	8.144761791852783	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	5	0.1	0	7	4	3	100.11687048196244	0.86
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	5	0.25	0	11	9	3	97.01111804733203	0.94
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	5	0.5	0	25	27	5	52.696929701833675	0.6299999999999999
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	5	0.75	0	44	92	5	57.67841078122676	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	10	0.1	0	12	9	3	50.06162868571763	0.94
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	10	0.25	0	12	9	3	60.09575692176612	0.94
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	10	0.5	0	16	15	3	90.05935542740687	0.9
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	10	0.75	0	44	149	3	61.67487986032177	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	15	0.1	0	17	14	3	32.471653861456915	0.89
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	15	0.25	0	17	14	3	39.597630211151525	0.89
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	15	0.5	0	21	20	3	61.554466783105035	0.8
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	15	0.75	0	35	101	3	93.96430064614096	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	20	0.1	0	22	18	4	24.77439527328618	0.78
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	20	0.25	0	23	20	3	30.219361837531824	0.78
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	20	0.5	0	24	21	3	44.984256505285636	0.76
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	20	0.75	0	33	93	3	87.65674141722435	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=30.0, n_clusters=None)	30	0.1	0	32	26	6	15.957187594858311	0.54
